Title,Trend_Label
100 startups participate in Maxis' Market Access Day,0
16.89% stake in Subur Tiasa traded off-market,0
Najib wanted 1MDB's Genting Sanyen deal sped up on fears caretaker govt couldn't approve it – witness,0
"25bps OPR cut likely in 2H20, says Manulife",0
A 25-month extension on concession pushes Pharmaniaga up by 9.7%,0
3.7% of Yong Tai transacted off-market,0
"3A, Ruberex, Thriven, Kanger, UniWall",0
40% stake in IWH-CREC may cost Ekovest RM1.5b,0
4.41% Kronologi Asia shares traded off-market,0
4.96% of MMAG traded off market,0
A 4.96% stake in Media Prima crosses off market at same price paid by Syed Mokhtar,0
5.71% of Sern Kou Resources traded in two off-market deals,2
5.9% stake in Jiankun International traded off market,0
6% stake in GHL Systems traded off-market,0
6% stake in Green Packet crossed off market at price higher than today's closing,0
6.25% of XingHe shares exchange hands in off-market trades,0
79 workers test positive for Covid-19 at New Hoong Fatt's plastic parts factory,0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence",0
"7-Eleven Malaysia may climb higher, says RHB Retail Research",0
7-Eleven Malaysia says not aware of reasons for sharp share price decline,2
7-Eleven Malaysia to take up 46% stake in Dego Ride operator,0
7-Eleven Malaysia's ex-CEO Colin George Harvey dies,0
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development",0
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development",0
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development",0
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development",0
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development",0
8.06% of Green Packet shares traded in off-market deal,0
Aabar wants to sell its remaining stake in RHB Bank,0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp",0
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG",0
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG",0
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG",0
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",2
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB",0
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson",1
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson",0
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson",2
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International",0
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International",0
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International",1
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International",0
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",0
AirAsia X served with RM95m breach of contract claim in UK,0
AirAsia X served with RM95m breach of contract claim in UK,0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",2
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise",0
Abdul Karim’s stake in Kumpulan Powernet rises to 53.38% at the close of takeover offer,0
Abdul Rashid takes over as Perak Corp chairman,2
